FilerEIN,TaxYear,CurrentYearMinus3Amt,CurrentYearMinus2Amt,CurrentYearMinus1Amt,CurrentYearAmt,TotalAmt
810421425,2018,5160,20025,9365,34761,69311
364724966,2018,0,0,0,0,0
204329740,2018,,,,,0
133028060,2018,193248,121538,113171,134441,562398
364724966,2017,,0,0,0,0
363152959,2017,,,0,0,0
510295186,2017,0,0,0,0,0
941730465,2016,81621,89580,102471,261878,535550
364724966,2019,0,0,0,0,0
452641647,2019,,,,100,100
470466144,2019,,,4415,,4415
364724966,2020,0,0,0,0,0
651253851,2020,0,0,0,0,0
223139279,2021,0,0,0,0,0
530183181,2022,27808,22108,39496,102598,192010
473036490,2022,0,0,0,0,0
650267668,2022,0,0,0,0,0
364724966,2023,0,0,0,0,0
310999046,2023,0,0,0,0,0
742683124,2024,17574,18126,17019,15345,68064
