FilerEIN,TaxYear,CurrentYearMinus3Amt,CurrentYearMinus2Amt,CurrentYearMinus1Amt,CurrentYearAmt,TotalAmt
810421425,2018,250000,250000,250000,250000,1000000
311640316,2018,250000,250000,250000,250000,1000000
364724966,2018,250000,250000,250000,250000,1000000
204329740,2018,,,,,0
264436716,2018,250000,250000,250000,250000,1000000
431486035,2018,,,20,108,128
133028060,2018,250000,250000,250000,250000,1000000
364724966,2017,250000,250000,250000,250000,1000000
363152959,2017,250000,250000,250000,250000,1000000
510295186,2017,250000,250000,250000,250000,1000000
590624458,2016,250000,250000,250000,250000,1000000
941730465,2016,250000,250000,250000,250000,1000000
363245072,2019,250000,250000,250000,250000,1000000
364724966,2019,250000,250000,250000,250000,1000000
452641647,2019,,87826,87192,66037,241055
943162074,2019,15125,14019,15124,16610,60878
912153073,2019,,,,250000,250000
470466144,2019,13,61129,63445,62790,187377
364724966,2020,250000,250000,250000,250000,1000000
651253851,2020,0,0,0,0,0
421435199,2020,250000,250000,250000,250000,1000000
912153073,2020,,,250000,250000,500000
742244826,2020,,,,250000,250000
340714585,2020,,,250000,250000,500000
223139279,2021,0,0,0,0,0
943191447,2021,7504,7884,8269,8399,32056
530183181,2022,250000,250000,250000,250000,1000000
135661832,2022,250000,250000,250000,250000,1000000
473036490,2022,0,0,0,0,0
650267668,2022,250000,250000,250000,250000,1000000
042105780,2022,250000,250000,250000,250000,1000000
364724966,2023,250000,250000,250000,250000,1000000
310999046,2023,0,0,0,0,0
943191447,2023,8269,8399,7264,7783,31715
842593203,2023,5598,4637,5815,6104,22154
942162549,2023,250000,250000,250000,250000,1000000
742683124,2024,76000,77670,76918,74867,305455
421435199,2024,250000,250000,250000,250000,1000000
204560286,2024,250000,250000,250000,250000,1000000
