FilerEIN,TaxYear,CurrentYearMinus3Amt,CurrentYearMinus2Amt,CurrentYearMinus1Amt,CurrentYearAmt,TotalAmt
810421425,2018,1000000,1000000,1000000,1000000,4000000
311640316,2018,1000000,1000000,1000000,1000000,4000000
364724966,2018,1000000,1000000,1000000,1000000,4000000
204329740,2018,,,,,0
264436716,2018,1000000,1000000,1000000,1000000,4000000
431486035,2018,,,81,430,511
133028060,2018,1000000,1000000,1000000,1000000,4000000
364724966,2017,1000000,1000000,1000000,1000000,4000000
363152959,2017,1000000,1000000,1000000,1000000,4000000
510295186,2017,1000000,1000000,1000000,1000000,4000000
590624458,2016,1000000,1000000,1000000,1000000,4000000
941730465,2016,1000000,1000000,1000000,1000000,4000000
363245072,2019,1000000,1000000,1000000,1000000,4000000
364724966,2019,1000000,1000000,1000000,1000000,4000000
452641647,2019,,351304,348768,264149,964221
943162074,2019,60501,56077,60497,66440,243515
912153073,2019,,,,1000000,1000000
470466144,2019,53,244517,253779,251161,749510
364724966,2020,1000000,1000000,1000000,1000000,4000000
651253851,2020,0,0,0,0,0
421435199,2020,1000000,1000000,1000000,1000000,4000000
912153073,2020,,,1000000,1000000,2000000
742244826,2020,,,,1000000,1000000
340714585,2020,,,1000000,1000000,2000000
223139279,2021,0,0,0,0,0
943191447,2021,30014,31536,33074,33594,128218
530183181,2022,1000000,1000000,1000000,1000000,4000000
135661832,2022,1000000,1000000,1000000,1000000,4000000
473036490,2022,0,0,0,0,0
650267668,2022,1000000,1000000,1000000,1000000,4000000
042105780,2022,1000000,1000000,1000000,1000000,4000000
364724966,2023,1000000,1000000,1000000,1000000,4000000
310999046,2023,0,0,0,0,0
943191447,2023,33074,33594,29057,31132,126857
842593203,2023,22392,18547,23258,24416,88613
942162549,2023,1000000,1000000,1000000,1000000,4000000
742683124,2024,304001,310680,307670,299469,1221820
421435199,2024,1000000,1000000,1000000,1000000,4000000
204560286,2024,1000000,1000000,1000000,1000000,4000000
