FilerEIN,TaxYear,VolunteersInd,PaidStaffOrManagementInd,MediaAdvertisementsInd,MailingsMembersInd,PublicationsOrBroadcastInd,GrantsOtherOrganizationsInd,DirectContactLegislatorsInd,RalliesDemonstrationsInd,OtherActivitiesInd,OtherActivities,TotalLobbyingExpenditures,NotDescribedSection501c3Ind,GrantsOtherOrganizations,CorrectionMadeInd,FilingOrganizationsTotalTotLbbyExpendMnsLbbyngNonTx,Form4720FiledInd,LobbyingCeiling,GrassrootsCeilingAmt,OrganizationBelongsAffltGrpInd,AffiliatedGroupTotalTotLbbyExpendMnsLbbyngNonTxAmt,DirectContactLegislators,TotalExemptFunctionExpend,Form1120POLFiledInd,Form4720Filed4912TaxInd,SubstantiallyAllDuesNondedInd,OnlyInHouseLobbyingInd,AgreeCarryoverPriorYearInd,NonDeductibleLbbyngPltclTot,TaxableAmt,MailingsMembers,PoliticalExpenditures,DuesAssessments,NonDeductibleLbbyngPltclCY,AggregateReportedDuesNtc,VolunteerHoursCnt,Expended527Activities,InternalFundsContributed,MediaAdvertisements,PublicationsOrBroadcast,RalliesDemonstrations,Section4955OrganizationTax,Section4955ManagersTax
135562401,2018,false,false,false,false,false,false,false,false,true,49922,49922,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510198509,2018,0,0,0,0,0,1,0,0,0,,6832542,0,6832542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810421425,2018,,,,,,,,,,,,,,false,250000,false,6000000,1500000,,,,,,,,,,,,,,,,,,,,,,,,
311640316,2018,,,,,,,,,,,,,,,0,,6000000,1500000,,,,,,,,,,,,,,,,,,,,,,,,
364724966,2018,,,,,,,,,,,,,,,0,,6000000,1500000,X,0,,,,,,,,,,,,,,,,,,,,,,
208295721,2018,false,true,false,true,false,true,true,false,false,,1933315,false,227715,,,,,,,,1705600,,,,,,,,,,,,,,,,,,,,,
204329740,2018,true,true,false,false,false,false,true,false,true,498,16016,false,,false,0,false,0,0,,,15518,0,false,false,false,false,false,0,0,,,,,,,,,,,,,
370662561,2018,false,false,false,false,false,true,false,false,false,,46070,false,46070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264436716,2018,,,,,,,,,,,,,,,250000,,6000000,1500000,X,250000,,,,,,,,,,,,,,,,,,,,,,
941196203,2018,true,true,false,true,false,true,true,false,true,506087,1295596,false,485215,,,,,,,,282525,,,,,,,,,21769,,,,,,,,,,,,
431486035,2018,,,,,,,,,,,,,,,1721,false,767,192,,,,,,,,,,,,,,,,,,,,,,,,
133028060,2018,,,,,,,,,,,,,,,0,,6000000,1500000,X,0,,,,,,,,,,,,,,,,,,,,,,
742393839,2018,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,90584,,,90584,408032,90584,102008,,,,,,,,
530115655,2018,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,
951637466,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,,,,
870409820,2018,,,,,,,,,,,,,,,,,,,,,,61369,1,,,,,,,,61369,,,,,269,61100,,,,,
743234716,2018,,,,,,,,,,,,,,,,,,,,,,,,,true,false,false,,,,,,,,,,,,,,,
475501097,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19803,,,,,,,,,,,
880361875,2017,0,1,0,0,0,0,1,0,0,,648,0,,,,,,,,,648,,,,,,,,,,,,,,,,,,,,,
364724966,2017,,,,,,,,,,,,,,,0,,6000000,1500000,X,0,,,,,,,,,,,,,,,,,,,,,,
361408475,2017,true,true,false,true,false,false,true,false,true,1953,276436,false,0,,,,,,,,274483,,,,,,,,,0,,,,,,,,0,0,0,,
480561974,2017,0,0,0,0,0,0,0,0,1,7759,7759,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363152959,2017,,,,,,,,,,,,,,,0,,6000000,1500000,X,0,,,,,,,,,,,,,,,,,,,,,,
262639114,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510295186,2017,,,,,,,,,,,,,,,64846,,6000000,1500000,X,250000,,,,,,,,,,,,,,,,,,,,,,
860974183,2017,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,204852,,,,,,,,,,,
530217164,2017,,,,,,,,,,,,,,,,,,,,,,,,,true,false,false,,,,,,,,,,,,,,,
461457252,2017,,,,,,,,,,,,,,,,,,,,,,205000,1,,1,0,0,,,,205500,,,,,,205000,,,,,
480876205,2017,,,,,,,,,,,,,,,,,,,,,,9000,0,,1,0,0,,,,9000,,,,,9000,,,,,,
590624458,2016,,,,,,,,,,,,,,,0,,6000000,1500000,,,,,,,,,,,,,,,,,,,,,,,,
510169168,2016,true,true,true,false,true,true,true,true,false,,217092,false,77472,,,,,,,,41590,,,,,,,,,,,,,,,,,26570,28399,43061,,
941730465,2016,,,,,,,,,,,,,,,0,1,6000000,1500000,,,,,,,,,,,,,,,,,,,,,,,,
941340523,2016,false,true,false,true,false,true,true,false,true,2520009,13363270,false,9712710,false,,,,,,,1120551,,,,,,,,,10000,1478,,,,,,,,,,148,0
370813229,2016,false,true,false,true,false,false,true,false,true,261796,661796,false,,,,,,,,,400000,,,,,,,,,0,,,,,,,,,,,,
208534071,2016,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580202025,2016,,,,,,,,,,,,,,,,,,,,,,,false,,false,true,false,,,,,,,,,,,,,,,
208295721,2019,false,true,false,true,false,true,true,false,false,,2336252,false,238891,,,,,,,,2097361,,,,,,,,,,,,,,,,,,,,,
042774441,2019,1,1,0,1,0,1,1,0,0,,789950,0,116600,,,,,,,,531923,,,,,,,,,141427,,,,,,,,,,,,
363245072,2019,,,,,,,,,,,,,,,0,,6000000,1500000,,,,,,,,,,,,,,,,,,,,,,,,
231907729,2019,true,true,true,false,true,true,true,true,true,1147,1026795,false,2343,,,false,,,,,526529,,,,,,,,,0,,,,,,,,16450,17625,462701,,
364724966,2019,,,,,,,,,,,,,,,0,,6000000,1500000,X,0,,,,,,,,,,,,,,,,,,,,,,
453358926,2019,false,false,false,true,false,false,true,false,true,2156250,2156250,false,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,
