FilerEIN,TaxYear,BusinessName,Address,City,StateCode,ZipCode,PaidInternalFunds,ContributionsReceivedAndDelivered,GroupEIN,BusinessNameLine2Txt
870409820,2018,ABBY LEE,5370 ELMORE RD,FRUITLAND,ID,83619,250,,,
870409820,2018,AGENBROAD FOR SENATE,3615 PORTLAND AVE,NAMPA,ID,83686,250,,,
870409820,2018,ANGELA ROMERO,1098 S EMERY ST,SLC,UT,84104,250,,,
870409820,2018,BEDKE FOR LEGISLATURE,PO BOX 89,OAKLEY,ID,83346,250,,,
870409820,2018,BLANKSMA FOR IDAHO,PO BOX 843,MOUNTAIN HOME,ID,83647,250,,,
870409820,2018,BRAD LITTLE FOR GOVERNOR,PO BOX 2664,BOISE,ID,83701,1000,,,
870409820,2018,BRADLEY M DAW,842 E 280 S,OREM,UT,84097,500,,,
870409820,2018,BRIAN ZEHNDER,6108 OAK CANYON DR,SLC,UT,84121,500,,,
870409820,2018,BRITT RAYBOULD,PO BOX 653,REXBURG,ID,83440,150,,,
870409820,2018,BRYAN ZOLLINGER,594 J STREET,IDAHO FALLS,ID,83402,250,,,
870409820,2018,CAMPAIGN TO ELECT KARIANNE LISONBEE,4334 W 1700 S,SYRACUSE,UT,84075,500,,,
870409820,2018,CAROL S MOSS,2712 KELLY LN,HOLLADAY,UT,84117,500,,,
870409820,2018,CLARK KAUFFMAN,3791 N 2100 E,FILER,ID,83328,200,,,
870409820,2018,COMMITTEE TO ELECT BRAD WILSON,1423 W WHISPERING MEADOW,KAYSVILLE,UT,84037,1000,,,
870409820,2018,COMMITTEE TO ELECT CHUCK WINDER,5528 N EBBETTS AVE,BOISE,ID,83713,500,,,
870409820,2018,COMMITTEE TO ELECT CRAIG HALL,3428 HARRISONWOOD DR,WEST VALLEY,UT,84119,1000,,,
870409820,2018,COMMITTEE TO ELECT CURT BRAMBLE,3663 N 870 E,PROVO,UT,84604,1500,,,
