FilerEIN,TaxYear,GrantRecordsMaintainedInd,Total501c3OrgCnt,TotalOtherOrgCnt
135562401,2018,true,4,0
510198509,2018,1,1297,176
810421425,2018,true,4,0
311640316,2018,1,28561,
364724966,2018,true,75,2
846059504,2018,true,,
208295721,2018,true,231,19
264436716,2018,true,,
941196203,2018,true,299,10
431486035,2018,false,,
900265283,2018,true,1,0
133028060,2018,1,43,4
742393839,2018,true,1,0
530115655,2018,1,3,3
951637466,2018,1,,272
941461312,2018,1,19,6
870409820,2018,1,8,0
464830470,2017,0,,
453358926,2017,true,30,1
431341372,2017,1,16,21
521344831,2017,1,81,1
351044585,2017,1,1,0
593652538,2017,1,2651,0
880361875,2017,1,20,
364724966,2017,true,77,5
846059504,2017,true,,
361408475,2017,true,56,0
811769805,2017,1,,
363152959,2017,true,9,0
237254290,2017,1,1,
860974183,2017,1,2,3
208424918,2017,1,1,0
746075288,2017,1,,
452798687,2017,true,3,159
820128057,2017,true,7,0
270646479,2017,true,,1
361707667,2017,1,1,0
590624458,2016,1,149,18
941730465,2016,1,12,1
941340523,2016,true,141,2
370813229,2016,true,11,0
381753186,2016,true,,
208295721,2019,true,198,14
042774441,2019,1,72,5
363245072,2019,1,254,249
231907729,2019,true,58,17
110303001,2019,true,56777,
271346553,2019,true,,
364724966,2019,true,65,0
453358926,2019,true,35,0
582149128,2019,true,2,0
900656139,2019,1,173,11
951684089,2019,true,11,
461404397,2019,false,,
912153073,2019,1,101,8
237254290,2019,1,2,0
912117699,2019,true,440,
530116130,2019,true,1,0
133539048,2019,true,3,57
951985500,2019,1,388,64
834075614,2019,1,0,0
237394928,2019,1,175,0
135562401,2020,true,3,0
316216454,2020,true,,
521344831,2020,1,69,0
912009004,2020,1,1,
110303001,2020,true,64214,
271346553,2020,true,,1
364724966,2020,true,70,1
453358926,2020,true,15,0
314379427,2020,1,131,
900656139,2020,1,132,8
210650678,2020,1,2,0
421435199,2020,1,15,2
912153073,2020,1,61,3
742244826,2020,true,73,
237014089,2020,true,,
340714585,2020,1,34,3
912117699,2020,true,468,
980368454,2020,true,0,0
522028955,2020,1,54,119
941153307,2020,1,47,8
951985500,2020,1,478,41
530116130,2020,true,1,0
264683543,2020,true,0,1
941461312,2020,1,27,6
208802884,2020,0,3,7
382180137,2020,true,1,0
231968136,2021,1,56,0
421744781,2021,1,,
300108263,2021,1,707,21
953950424,2021,1,,
110303001,2021,true,70853,
461191706,2021,true,118,0
752721254,2021,true,0,0
611740292,2021,true,52,1
232967354,2021,false,11,
412186719,2021,true,2,
260900874,2021,true,3,1
912117699,2021,true,499,
237401870,2021,1,,
980127096,2021,true,8,2
203270502,2021,true,,1
611740292,2022,true,50,0
510198509,2022,1,2349,146
530183181,2022,1,24,8
810739440,2022,true,35829,0
880232960,2022,0,,
135661832,2022,true,2,0
311066871,2022,true,1,0
846059504,2022,true,,
450278474,2022,true,19,
650267668,2022,true,123,7
591479658,2022,1,87,1
742393839,2022,true,0,0
863199323,2022,1,,
521974904,2022,1,1,2
954523231,2022,1,250,69
384016550,2022,true,104,2
471854208,2022,false,,
208295721,2023,true,247,36
453358926,2023,true,10,0
367746339,2023,true,,
431634280,2023,1,10157,
912009004,2023,true,1,0
110303001,2023,true,80308,0
431292397,2023,1,1,
364724966,2023,true,247,3
314379427,2023,1,156,6
900656139,2023,1,144,21
310999046,2023,,1,0
210650678,2023,1,2,0
370813229,2023,true,17,0
860974183,2023,1,,
840445578,2023,1,1,0
521974904,2023,1,5,2
133539048,2023,true,5,71
954523231,2023,1,239,75
510157792,2023,0,,
361707667,2023,1,1,0
010879928,2023,true,1,4
616034815,2023,,,
135562401,2024,true,4,0
812375745,2024,1,4,0
431634280,2024,1,14485,
131788491,2024,true,663,25
810739440,2024,1,45319,
271346553,2024,true,,
821406555,2024,true,11,1
237039405,2024,1,17,0
383952644,2024,1,280,13
202144771,2024,0,,
550643304,2024,true,16,4
421435199,2024,1,4,0
912153073,2024,1,119,5
204560286,2024,1,48,5
237014089,2024,true,,
237028846,2024,1,,
980368454,2024,true,0,1
981718091,2024,1,16,1
530116130,2024,true,14,1
951985500,2024,1,628,60
510157792,2024,false,0,9
990107971,2024,1,20,1
912117699,2024,1,357,
208802884,2024,0,19,15
237179623,2024,1,2,1
