FilerEIN,TaxYear,GrantType,Recipients,CashGrant,NonCashAssistance,ValuationMethodUsedDesc,NonCashAssistanceDesc
135562401,2018,ECONOMIC ASSISTANCE,13,17090,0,,
510198509,2018,SCHOLARSHIPS,25,118614,,,
810421425,2018,SCHOLARSHIP,12,36000,,,
364724966,2018,SCHOLARSHIPS,138,294339,,,
364724966,2018,EMPLOYEE CRISIS ASSISTANCE,195,290021,,,
364724966,2018,PATIENT BILL ASSISTANCE,40,214400,,,
364724966,2018,PATIENT TRANSPORTATION ASSISTANCE,57,2172,,,
364724966,2018,FOOD AND MEDICINE FOR INDIVIDUALS,218,18387,,,
846059504,2018,"HSG, REGISTRATION, TRAVEL",171,101478,,,
846059504,2018,GIFTS AND GRANTS,129,38744,,,
264436716,2018,Direct cost of youth and families in care,4963,,473013,Book,Financial Assistance
941196203,2018,DIRECT CASH ASSISTANCE,604,648270,,N/A,N/A
941196203,2018,FINANCIAL ASSISTANCE TO PATIENTS/NEEDY,7096,582236,,N/A,N/A
941196203,2018,SCHOLARSHIP,58,148600,,N/A,N/A
941196203,2018,DONATION OF CLOTHING/OTHER TO PATIENTS/NEEDY,22666,,45225,COST,"CLOTHING, CAR SEATS"
941196203,2018,MEDICAL SUPPLIES/EQUIPMENT TO PATIENTS/INDIGENTS,228,,21327,COST,medical supplies/equ
941196203,2018,PHARMACY CHARITY PRESCRIPTION,483,,126814,COST,pharmaceuticals
941196203,2018,PROVISION OF FOOD/MEALS,14660,,270354,COST,FOOD
742393839,2018,STUDENT SCHOLARSHIPS,6,10500,,FMV,N/A
941461312,2018,COMMUNITY SERVICE GRANT AWARDS,1,10000,,N/A,
464830470,2017,SCHOLARSHIPS AND AWARDS,700,228893,,FMV,
880361875,2017,TEACHER APPRECIATION,20,100000,,,
364724966,2017,SCHOLARSHIPS,106,247800,,,
364724966,2017,EMPLOYEE CRISIS ASSISTANCE,116,181941,,,
364724966,2017,PATIENT BILL ASSISTANCE,18,50730,,,
364724966,2017,PATIENT TRANSPORTATION ASSISTANCE,284,5787,,,
364724966,2017,FOOD AND MEDICINE FOR INDIVIDUALS,188,25361,,,
846059504,2017,"HSG, REGISTRATION, TRAVEL",47,92742,,,
846059504,2017,GIFTS AND GRANTS,24,14367,,,
361408475,2017,FELLOWSHIPS,442,,1088972,,
361408475,2017,SCHOLARSHIPS,12826,,208235784,,
811769805,2017,Scholarship grants paid directly to the US Educational Institution attended by the recipient.,13,9158,0,Cash USD,No Non-Cash Assistance was provided.
237254290,2017,SCHOLARSHIPS,215,128201,,,
746075288,2017,SCHOLARSHIPS FOR STUDENTS ATTENDING COLLEGE,12,7062,,,
746075288,2017,DISASTER RELIEF GIFTS FOR FLOODING VICTIMS,5,,1596,AT COST VALUE,
590624458,2016,Scholarships for tuition housing meals and books,13492,414638608,,N/A,N/A
590624458,2016,Grants and Other Assistance - Research,2,20050,,N/A,N/A
370813229,2016,SCHOLARSHIPS,126,234177,0,N/A,N/A
381753186,2016,EDUCATIONAL SCHOLARSHIPS,38,34850,,,
042774441,2019,Sibylla Orth Young Fund for Student Aid,16,31000,,FMV,
042774441,2019,Nursing Education Scholarship Fund,47,93000,,FMV,
042774441,2019,Yawkey Family Inn Fund,4112,,93695,FMV,Housing Assistance
042774441,2019,Devon Nicole House Operating Fund,2118,,1535,FMV,Housing Assistance
042774441,2019,Pet Therapy Program Fund,2552,,131015,FMV,Theurapeutic dog visits made to inpatients
042774441,2019,Extraordinary Needs Fund II,100,63701,,FMV,
042774441,2019,Volunteer Department Fund,1000,,9551,FMV,"Supplies, Catering and Entertainment for Patients and Patient's families."
042774441,2019,Broadway Sam Fund,56,,10260,FMV,Tickets for Art and Entertainment Events
042774441,2019,Family Services Fund,1821,,125614,FMV,Greeting Cards and supplies for Adopt a Family Program & wellness supplies and services
042774441,2019,Milagros Para las Family Fund,550,,29163,FMV,Translation services and program support for spanish speaking families.
042774441,2019,Barber Family Endowment Fund,21,,5931,FMV,Teen Advisory Committee expenses
042774441,2019,Hale Center for Families Endowment Operating Fund,356,,95792,FMV,Child Life Specialist and art supplies.
042774441,2019,Matthew Puffer Parking Fund,23,420,,FMV,
042774441,2019,Foster Grandparent Program Fund,30,,200,FMV,"Sponsored dog show, music events, magic shows and face painting activities"
042774441,2019,Patient Family Housing Fund,697,,64794,FMV,Housing Assistance
042774441,2019,Room to Heal Fund,74,,5073,FMV,"Did You Know lunch series catering, printed materials for family resources"
042774441,2019,Telemachus and Irene Demoulas Family Foundation Extraordinary Needs Endowment Operating Fund,252,,18883,FMV,"PACT Hope Program support, comfort sheets for end of life, Keeping Connections event"
042774441,2019,Alexander Mosse Baer Entertainment Fund,100,,525,FMV,Sponsored one dog show and four magic shows
042774441,2019,Brandano Parent Apartment Fund,932,,58120,FMV,Housing Assistance
042774441,2019,Patient Care Support Services Endowment/Income Fund,4000,,100063,FMV,Parking Vouchers & Spanish Speaking Support
363245072,2019,BASIC EDUCATION AND LITERACY-SCHOLARSHIP,1,19500,,,
363245072,2019,DISEASE PREV. AND TREATMENT-SCHOLARSHIP,8,293849,,,
363245072,2019,ECON. AND COMMUNITY DEVELOP.-PROJ.ENHANCEMENT,17,13073,,,
363245072,2019,ECON. AND COMMUNITY DEVELOP.-SCHOLARSHIP,5,183090,,,
363245072,2019,MATERNAL AND CHILD HEALTH-SCHOLARSHIP,1,36000,,,
363245072,2019,PEACE AND CONFL. PREV./RESOLUTION-HUMANITARIAN,23,56507,,,
363245072,2019,PEACE AND CONFL. PREV./RESOLUTION-SCHOLARSHIP,39,1408633,,,
363245072,2019,WATER AND SANITATION-SCHOLARSHIP,7,432119,,,
271346553,2019,Grants to Individuals,2,29935,,,
364724966,2019,SCHOLARSHIPS,102,286053,,,
364724966,2019,EMPLOYEE CRISIS ASSISTANCE,180,192819,,,
364724966,2019,PATIENT BILL ASSISTANCE,50,144800,,,
364724966,2019,PATIENT TRANSPORTATION ASSISTANCE,35,1296,,,
364724966,2019,FOOD FOR INDIVIDUALS,50,2100,,,
364724966,2019,MEDICINE FOR INDIVIDUALS,2450,,857940,COST,PRESCRIPTIONS FILLED FOR PATIENTS UNABLE TO AFFORD THE COST
900656139,2019,SCHOLARSHIPS,372,7241010,0,,
900656139,2019,TUITION REDUCTION - VARIOUS RECIPIENTS,,1004235,,,
912153073,2019,SCHOLARSHIPS,226,8423834,,,
912153073,2019,FELLOWSHIPS,1887,92649939,,,
237254290,2019,SCHOLARSHIPS,510,117228,,,
912117699,2019,Scholarships,4,17313,,,
530116130,2019,NRA JEANNE E BRAY MEMORIAL SCHOLARSHIP AWARDS,22,91491,0,,
951985500,2019,AARP Purpose Prize,1,60000,,,
135562401,2020,ECONOMIC ASSISTANCE,3,6900,0,,
271346553,2020,Specific Assist to Individuals,1,9848,,FMV,
364724966,2020,SCHOLARSHIPS,84,198250,,,
364724966,2020,EMPLOYEE CRISIS ASSISTANCE,226,275326,,,
364724966,2020,PATIENT BILL ASSISTANCE,12,40800,,,
364724966,2020,PATIENT TRANSPORTATION ASSISTANCE,320,17608,,,
364724966,2020,FOOD FOR INDIVIDUALS,500,16182,,,
364724966,2020,MEDICINE FOR INDIVIDUALS,1860,,650913,COST,PRESCRIPTIONS FILLED FOR PATIENTS UNABLE TO AFFORD THE COST
364724966,2020,MEDICAL EQUIPMENT FOR INDIVIDUALS,11,,32972,COST,MEDICAL EQUIPMENT PURCHASED FOR PATIENTS UNABLE TO AFFORD THE COST.
900656139,2020,SCHOLARSHIPS,423,7595346,0,,
900656139,2020,TUITION REDUCTION - VARIOUS RECIPIENTS,0,737500,0,,
210650678,2020,"RIDER UNIVERSITY ATHLETIC, MERIT AND NEED-BASED FINANCIAL AID",4479,84929669,,,
210650678,2020,RESTRICTED AID USED FOR SCHOLARSHIP,471,2735225,,,
210650678,2020,N.J. - EDUCATIONAL OPPORTUNITY FUND,102,463003,,,
210650678,2020,FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANT PROGRAM,871,398111,,,
210650678,2020,FEDERAL NSF NOYCE GROW YOUR OWN PIPELINE,17,218274,,,
210650678,2020,FEDERAL STUDENT SUPPORT SERVICES PROGRAM,48,56432,,,
912153073,2020,SCHOLARSHIPS,331,8861497,,,
912153073,2020,FELLOWSHIPS,1874,94860623,,,
237014089,2020,CHARITABLE CONTRIBUTION,734,1004844,,,
340714585,2020,SCHOLARSHIPS,199,8685666,,,
340714585,2020,FELLOWSHIPS,1482,75876181,,,
912117699,2020,Scholarships,23,16850,,,
530116130,2020,NRA JEANNE E BRAY MEMORIAL SCHOLARSHIP AWARDS,23,85500,,,
300108263,2021,FUNDS RAISED BY GLOBALGIVING AND DISBURSED TO MEET DONOR EXPECTATIONS,7,117883,,,
953950424,2021,FINANCIAL AID,22,123212,,,
611740292,2021,SCHOLARSHIPS,34,8000,26750,N/A,N/A
912117699,2021,Scholarships,37,44103,,,
237401870,2021,2% NYS FIRE INSURANCE FUND MONIES ARE USED TO PROVIDE FOR THE NEEDS OF NEEDY AND INDIGENT FIREFIGHTERS,200,64127,,,
980127096,2021,PRIZES,1,462,,,
980127096,2021,SCHOLARSHIPS,1,488,,,
980127096,2021,HARDSHIP GRANTS,94,55996,,,
980127096,2021,MOBILITY AND EMPLOYABILITY GRANTS,5,2592,,,
980127096,2021,STUDENT SSP Grants,18,6763,,,
980127096,2021,STUDENT STIPENDS,53,745308,,,
980127096,2021,FEE WAIVERS,2,,18935,Course fee cost,RTP scheme
611740292,2022,SCHOLARSHIPS,,37000,,N/A,N/A
611740292,2022,RESIDENT STIPENDS,,56763813,,N/A,N/A
510198509,2022,SCHOLARSHIP,21,257500,,,
530183181,2022,To assist with costs associated with efforts to avoid livestock depredation by wolves.,5,31500,,N/A,N/A
530183181,2022,To assist with costs associated with efforts to install bison fencing for the Blackfeet Nation's cultural buffalo herd.,1,20000,,N/A,N/A
530183181,2022,Electric Fence Incentive Program.,69,19729,,N/A,N/A
530183181,2022,To assist with costs to transfer Yellowstone bison to the Fort Peck Indian Reservation.,1,6750,,N/A,N/A
530183181,2022,For Ranching with Wolves workshops.,1,6393,,N/A,N/A
530183181,2022,Bear Co-existence Incentive Program.,1,195,,N/A,N/A
846059504,2022,"HSG, REGISTRATION, TRAVEL",,433701,,,
846059504,2022,GIFTS AND GRANTS,,18350,,,
742393839,2022,STUDENT SCHOLARSHIPS,9,18600,,FMV,N/A
954523231,2022,2023 SUPPORT FOR FUNDERS FOR MATERNAL MENTAL HEALTH,1,27000,,,
954523231,2022,ADAPTING THE CA BRIDGE PROGRAM TO IMPROVE ACCESS TO REPRODUCTIVE HEALTH - PLANNING GRANT,1,30000,,,
954523231,2022,ADVANCING BLACK HEALTH EQUITY: LISTENING TO BLACK CALIFORNIANS,1,46838,,,
954523231,2022,ADVANCING THE ALIGNMENT OF STATE HOUSING ACTIVITIES WITH HEALTH CARE OPPORTUNITIES,1,10710,,,
954523231,2022,ADVANCING THE NURSE PRACTITIONER WORKFORCE IN CALIFORNIA AB890,1,16481,,,
954523231,2022,ALMANAC QUALITY METRICS UPDATE 2022-2024,1,5950,,,
954523231,2022,ALMANAC QUALITY METRICS: DEVELOPING AND UPDATING DATA SETS AND HIGH-LEVEL FINDINGS,1,7800,,,
954523231,2022,AUDIO/VISUAL STORYTELLING PEOPLE EXPERIENCING HOMELESSNESS,2,68723,,,
954523231,2022,BEHAVIORAL HEALTH IN MEDI-CAL,1,1000,,,
954523231,2022,BLOG ARTICLES ON LA CARE/HOUSING INTEGRATION PILOTS,1,9082,,,
954523231,2022,BUSINESS PLANNING SUPPORT FOR MULTICAMPUS POST-MASTER'S PMHNP CONSORTIUM OFFICE,1,31950,,,
954523231,2022,CALIFORNIA DEPARTMENT OF HEALTH CARE SERVICES COMMUNICATIONS: CROSS PROJECT LEARNING,1,17205,,,
954523231,2022,CALIFORNIA HEALTH INSURERS ENROLLMENT AND MEDICAL LOSS RATIO UPDATE,1,18900,,,
954523231,2022,"CALIFORNIA HEALTH INSURERS, 2021 EDITION & RELATED PRODUCTS",1,26180,,,
954523231,2022,"CHCF BIRTH EQUITY ADVISORY GROUP, 2022",5,7500,,,
954523231,2022,CHCF SUMMARY BRIEF ON THE 2022 CALIFORNIA HEALTH INFORMATION TECHNOLOGY (IT) LANDSCAPE ASSESSMENT,1,12353,,,
954523231,2022,CO-FUNDING SUPPORT FOR A MATERNAL MENTAL HEALTH FUNDERS' CIRCLE,1,2500,,,
954523231,2022,COMMUNICATIONS PROJECT MANAGEMENT-LISTENING TO BLACK CALIFORNIANS,1,50490,,,
954523231,2022,COMMUNICATIONS SUPPORT FOR CALHHS BEHAVIORAL HEALTH INITIATIVES,1,11400,,,
954523231,2022,COMMUNITY BASED ORGANIZATION (CBO) STATEWIDE INVENTORY EXPLORATORY PROJECT,1,15000,,,
954523231,2022,COMMUNITY HEALTH WORKER & PROMOTOR WORKFORCE CBC: EDITING AND COMMUNICATIONS SUPPORT,1,23100,,,
954523231,2022,COMMUNITY HEALTH WORKER & PROMOTORES CAPACITY BUILDING COLLABORATIVE ADMINISTRATIVE LEAD,1,250131,,,
