FilerEIN,TaxYear,FormAndLineReferenceDesc,ExplanationTxt
135562401,2018,"Schedule I, Part II","THE YMCA RETIREMENT FUND MAKES SMALL GRANTS TO SUPPORT VARIOUS YMCA PROGRAMS. THESE GRANTS ARE INTENDED TO SUPPORT THE INDIVIDUAL MISSIONS OF THE RECIPIENT YMCA'S AND ARE SINGULAR IN NATURE. NO FURTHER MONITORING IS UNDERTAKEN. ALL RECIPIENTS ARE 501(C)(3) ORGANIZATIONS. THE GRANT TO THE YMCA ALUMNI WAS MADE IN SUPPORT OF ITS MISSION. THE MISSION OF THE YMCA ALUMNI IS TO ENABLE MEMBERS TO PROMOTE A NURTURING, WORLDWIDE CHRISTIAN FELLOWSHIP THAT PROVIDES EDUCATIONAL, SOCIAL, AND CHARITABLE OPPORTUNITIES. THE GRANT TO THE ARMED SERVICES YMCA WAS MADE IN SUPPORT OF ITS MISSION TO PUT CHRISTIAN PRINCIPLES INTO PRACTICE THROUGH EDUCATIONAL, RECREATIONAL, SOCIAL AND RELIGIOUS PROGRAMS AND SERVICES FOR MILITARY PERSONNEL, BOTH SINGLE AND MARRIED AND THEIR FAMILIES. THE MISSION IS CARRIED OUT IN COOPERATION WITH THE MILITARY. THE GRANT TO THE YMCA OF THE USA WAS MADE IN SUPPORT OF ITS PROGRAM TO PROVIDE WORLD SERVICES RELIEF. THE MISSION OF THE YMCA OF THE USA IS TO BE A RESOURCE OFFICE FOR THE NATION'S 2,700 YMCAS, WHICH STRENGTHEN COMMUNITY BY NURTURING THE POTENTIAL OF KIDS, PROMOTING HEALTHY LIVING FOR ALL AND FOSTERING SOCIAL RESPONSIBILITY. THE GRANT TO SPRINGFIELD COLLEGE WAS MADE IN SUPPORT OF THE YMCA HALL OF FAME, WHICH RECOGNIZED YMCA PROFESSIONALS AND VOLUNTEERS WHO HAVE MADE A LIFETIME OF COMMITMENT TO THE MISSION AND CAUSE OF THE YMCA MOVEMENT."
135562401,2018,"Schedule I, Part III RETIREE EMERGENCY ASSISTANCE PROGRAM","THE YMCA RETIREMENT FUND ESTABLISHED THE RETIREE EMERGENCY ASSISTANCE PROGRAM (REAP) TO PROVIDE FINANCIAL SUPPORT TO THE YMCA RETIREES WHO FIND THEMSELVES IN FINANCIAL CRISIS. THIS PROGRAM IS SUPPORTED BY PROCEEDS FROM THE HAROLD C. SMITH DINNER. ALL RETIREES RECEIVING AN ANNUITY FROM THE YMCA RETIREMENT FUND ARE ELIGIBLE TO APPLY FOR A REAP GRANT. GRANTS ARE GIVEN ONLY FOR EMERGENCIES THAT FALL INTO ONE OF THE FOLLOWING THREE CATEGORIES: MEDICAL: EXPENSES BEYOND HEALTH INSURANCE COVERAGE, OR OUT-OF-POCKET EXPENSES THAT CAUSE EXTREME HARDSHIP. SHELTER: EXPENSES TO AVOID EVICTION FROM, OR FORECLOSURE UPON, ONE'S PRIMARY RESIDENCE. CATASTROPHE: AN ECONOMIC HARDSHIP RESULTING FROM AN ACT OF NATURE OR OTHER CATASTROPHIC EVENT."
135562401,2018,"Schedule I, Part I, Line 2 Procedures for monitoring use of grant funds.","AFTER THEY'VE DEMONSTRATED FINANCIAL NEED IN ONE OF THE ASSISTANCE CATEGORIES, A ONE-TIME PAYMENT OF UP TO $2,000 IS PROVIDED PER CALENDAR YEAR. NO FURTHER MONITORING IS UNDERTAKEN."
510198509,2018,"PART I, LINE 2:","THOROUGH DUE DILIGENCE IS CONDUCTED IN ADVANCE OF FUNDING TO DETERMINE THE GROUP'S TAX-EXEMPT STATUS AND WHETHER THE GROUP IS APPROPRIATE FROM A MISSION PERSPECTIVE. ALL GRANTEES RECEIVE A WRITTEN GRANT AGREEMENT. BY ACCEPTING PAYMENT, THE GRANTEE AGREES TO THE CONDITIONS OF THE AWARD. IF A GRANT IS RESTRICTED TO A PARTICULAR NON-LOBBYING PURPOSE, ORGANIZATIONS FURTHER AGREE THAT: (I) ANY PORTION OF THE GRANT NOT USED FOR THE STATED PURPOSE MUST BE REPAID, (II) ANY CHANGE OF THE PURPOSE MUST BE REQUESTED AND APPROVED IN ADVANCE IN WRITING, AND (III) NOT TO USE ANY PORTION OF THE GRANT TO CARRY ON PROPAGANDA OR TO ATTEMPT TO INFLUENCE SPECIFIC LEGISLATION EITHER BY DIRECT OR GRASSROOTS LOBBYING. BASED ON A RISK ASSESSMENT, A REPORT IS REQUIRED FOR CERTAIN GRANTS AFTER THE GRANT AWARD. WE ASK THE GRANTEE TO SUBMIT A TWO-PAGE NARRATIVE DESCRIBING THE USE OF THE FUNDS AND ACTIVITIES UNDERTAKEN AS A RESULT OF THE GRANT, ALONG WITH A FINANCIAL REPORT."
810421425,2018,Additional Supplemental Information,"EVERY YEAR THE ROCKY MOUNTAIN ELK FOUNDATION AWARDS SCHOLARSHIPS TO COLLEGE STUDENTS PURSUING CAREERS IN WILDLIFE AND CONSERVATION WHO EXHIBIT OUTSTANDING LEADERSHIP. APPLICANTS MUST LIST THEIR LEADERSHIP ACTIVITIES, HOBBIES, EMPLOYMENT AND ACCOMPLISHMENTS AS THEY RELATE TO WILDLIFE OR NATURAL RESOURCES IN THEIR COMMUNITIES. THEY MUST ALSO WRITE ESSAYS DESCRIBING IMPORTANT CONSERVATION ISSUES FACING NORTH AMERICA, THE ROLE OF HUNTING IN CONSERVATION, AND HOW THE SCHOLARSHIP WOULD BENEFIT THEM IN ACHIEVING THEIR CAREER GOALS. ESTABLISHED IN 1991, THIS PROGRAM IS UNIQUE IN THE CONSERVATION WORLD AND IS WELL KNOWN AND HIGHLY REGARDED IN ACADEMIA.RMEF AWARDS GRANT FUNDS TO APPLICANTS TO COMPLETE HABITAT ENHANCEMENT PROJECTS. BEFORE GRANTS ARE AWARDED, THE APPLICANTS MUST SUBMIT A PROJECT PROPOSAL THAT DETAILS THE SPECIFIC HABITAT ENHANCEMENT WORK TO BE FUNDED. A COMMITTEE WITH REPRESENTATIVES FROM MULTIPLE AGENCIES AND ORGANIZATIONS SCREENS ALL PROPOSALS TO DETERMINE WHICH PROJECTS HAVE THE GREATEST BENEFIT TO ELK, OTHER WILDLIFE, AND THEIR HABITAT. RMEF ALSO REQUIRES SUBMISSION OF A PROJECT COMPLETION REPORT WITHIN 60 DAYS OF THE END OF THE ACTIVITIES. THE COMPLETION REPORT MUST INCLUDE A FULL ACCOUNTING OF EXPENDITURES, PHOTO DOCUMENTATION OF PROJECT ACTIVITIES, LISTING OF THE SPECIFIC WORK ACCOMPLISHED, AND RECOGNITION OF RMEF'S CONTRIBUTION BY APPROPRIATE MEANS."
810421425,2018,Grantmaker's Description of How Grants are Used,"AT THE TIME OF APPLICATION, RMEF REQUIRES A VERIFICATION SIGNED BY THE APPLICANTS DEPARTMENT HEAD OR CHAIRPERSON INDICATING ENROLLMENT IN THE UNIVERSITYS WILDLIFE CURRICULUM, CLASS STANDING OF JUNIOR OR SENIOR, AND STUDENTS GRADE POINT AVERAGE. TWO LETTERS OF RECOMMENDATION ARE REQUIRED WITH THE APPLICATION, WHICH SHOULD FOCUS ON THE APPLICANT'S LEADERSHIP QUALITIES. DUE TO AN INCREASE IN STUDENTS RECEIVING EDUCATION REMOTELY VIA THE INTERNET, RMEF ALLOWS LETTERS OF RECOMMENDATION FROM EMPLOYERS AND VOLUNTEER SUPERVISORS. ONCE A SCHOLARSHIP IS AWARDED, AND BEFORE FUNDS ARE DISBURSED, A SECOND UNIVERSITY VERIFICATION SIGNED BY THE STUDENTS FACULTY ADVISOR AND DEPARTMENT HEAD CONFIRMING THE STUDENTS ENROLLMENT FOR THE UPCOMING PERIOD IS REQUIRED."
311640316,2018,"PART I, LINE 2:","SCHWAB CHARITABLE NORMALLY MAKES GRANTS ONLY TO SPECIFIC TYPES OF ORGANIZATIONS, INCLUDING 501 (C)(3) ORGANIZATIONS THAT ARE CLASSIFIED AS PUBLICLY SUPPORTED UNDER SECTIONS 509 (A)(1) OR 509 (A)(2); THAT ARE TYPE 1, 2 OR FUNCTIONALLY INTEGRATED TYPE 3 SUPPORTING ORGANIZATIONS (OTHER THAN THOSE PROVIDING SUPPORT TO ORGANIZATIONS CONTROLLED BY THE DONOR-ADVISOR OR RELATED PERSON); THAT ARE GOVERNMENTAL ORGANIZATIONS (SUCH AS STATE UNIVERSITIES); THAT ARE INTERNATIONAL ORGANIZATIONS WITH VALID EQUIVALENCY DETERMINATIONS; OR THAT ARE PRIVATE OPERATING FOUNDATIONS. SCHWAB CHARITABLE CONDUCTS CERTAIN DUE DILIGENCE TO ENSURE THAT ALL GRANTEES MEET THESE AND OTHER REQUIREMENTS TO ENSURE THAT THE GRANTS WILL SERVE CHARITABLE PURPOSES. IN A LIMITED NUMBER OF SPECIAL CASES, SCHWAB CHARITABLE MAY MAKE GRANTS FOR CHARITABLE PURPOSES TO OTHER CATEGORIES OF ORGANIZATIONS, BUT IN SUCH CASES IT WILL EXERCISE EXPENDITURE RESPONSIBILITY OVER THE GRANTS BY CONDUCTING A PRE GRANT INQUIRY TO ENSURE THE GRANTEE WILL USE FUNDS FOR THE INTENDED CHARITABLE PURPOSES; ENTERING INTO A WRITTEN GRANT AGREEMENT RESTRICTING THE USE OF GRANT FUNDS; AND REQUIRING REPORTS FROM GRANTEES CONCERNING THE USE OF GRANT FUNDS. SCHWAB CHARITABLE REQUIRES ALL GRANTEES TO USE GRANT FUNDS SOLELY FOR CHARITABLE PURPOSES AND GRANTEES ARE PROHIBITED FROM PROVIDING BENEFITS TO THE DONOR-ADVISOR. SCHWAB CHARITABLE ALSO CHECKS THE NAME OF ALL GRANTEES AGAINST THE U.S. TREASURY DEPARTMENT'S LIST OF ""SPECIALLY DESIGNATED NATIONALS AND OTHER U.S. AND FOREIGN GOVERNMENT WATCH LISTS."
364724966,2018,"Schedule I, Part III, Column (b) Number of recipients",The number of scholarship recipients is known. For the other types of assistance to domestic individuals the number of recipients benefiting was estimated based on an average or typical amount of assistance provided.
364724966,2018,"Schedule I, Part I, Line 2 Procedures for monitoring use of grant funds.","THE MAJORITY OF THE GRANTS FROM THE NORTHWESTERN MEMORIAL HEALTHCARE GROUP ARE ADMINISTERED THROUGH NORTHWESTERN MEMORIAL FOUNDATION (""NMF""). NMF MAINTAINS DETAILED RECORDS AND INTERNAL CONTROL PROCEDURES TO ENSURE GRANT RECIPIENTS ARE QUALIFIED, AWARD AMOUNTS ARE DOCUMENTED AND SELECTION CRITERIA ARE CLEAR. ONCE A GRANT HAS BEEN AWARDED, NMF INITIATES A WRITTEN AGREEMENT WITH THE GRANT RECIPIENT THAT INCORPORATES A BUDGET AND TIME PERIOD FOR SPENDING THE GRANT DOLLARS. REASONABLE DIRECT COSTS, SUPPORTED BY DIRECT BUDGET JUSTIFICATION AND RELATED TO THE PROJECT'S PURPOSE, ARE ALLOWABLE. RECIPIENTS AGREE TO ABIDE BY THE BUDGET AND ALL RELEVANT POLICIES IN EFFECT AT NORTHWESTERN MEMORIAL HEALTHCARE. GRANT EXPENDITURES ARE MONITORED FOR COMPLIANCE WITH THEIR RESPECTIVE AGREEMENTS, AT LEAST ONCE A YEAR TO ENSURE THAT BUDGETS ARE FOLLOWED AND EXPENSES ARE APPROPRIATE. AT THE END OF EACH BUDGET PERIOD, NMF REQUIRES THE GRANT RECIPIENT TO SUBMIT A WRITTEN NARRATIVE AND FINANCIAL REPORT OUTLINING PROJECT ACCOMPLISHMENTS AND HOW THE GRANT DOLLARS WERE EXPENDED. UNEXPENDED FUNDS ARE RETURNED TO NMF. GRANTS PROVIDED BY NORTHWESTERN MEMORIAL HOSPITAL AND NORTHWESTERN LAKE FOREST HOSPITAL TO OTHER QUALIFYING TAX-EXEMPT ORGANIZATIONS ARE SUPPORTED BY A GRANT AGREEMENT THAT DEFINES ANY RESTRICTIONS ASSOCIATED WITH THE GRANT AND ANY RELATED REPORTING REQUIREMENTS. IN ADDITION, OTHER ORGANIZATION IN THE NORTHWESTERN MEDICINE HEALTHCARE GROUP ALSO PROVIDE GRANTS UNDER THEIR COMMUNITY BENEFIT GRANT PROGRAMS TO NONPROFIT, GOVERNMENTAL OR PUBLIC ORGANIZATIONS WITHIN THEIR LOCAL COMMUNITIES WHO ARE WORKING TO ADDRESS IDENTIFIED COMMUNITY HEALTH PRIORITIES, BASED ON THEIR LOCAL COMMUNITY HEALTH NEEDS ASSESSMENTS AND/OR COMMUNITY HEALTH IMPROVEMENT PLANS. THE GUIDING PHILOSOPHY OF THE CHARITABLE GRANT ACTIVITY IS TO NOT ONLY CONTRIBUTE OUR RESOURCES BUT TO ACTIVELY ENGAGE PARTNERS TO ASSESS, PLAN FOR AND MEET COMMUNITY HEALTH NEEDS. THE NMHC GROUP ORGANIZATIONS WORK CLOSELY WITH THEIR PARTNERS IN THE PROGRAMS THAT ARE AWARDED GRANTS. MONITORING THE USE OF GRANT FUNDS IS ACHIEVED THROUGH VARIOUS MEANS, INCLUDING ACTIVE PARTICIPATION IN PROGRAM IMPLEMENTATION, WRITTEN CONTRIBUTION AGREEMENTS, PERFORMANCE REPORTS AND BOARD PARTICIPATION IN SOME INSTANCES."
846059504,2018,"SCHEDULE I, PAGE 4, PART IV","ALL PARTICIPANTS IN ACP HOUSING WERE FUNDED BY ONE OF 2 DIFFERENT SOURCES. THOSE SUPPORTED BY NSF RECEIVED 325 PER WEEK. THE 67 PHYSICISTS SUPPORTED BY THE SIMONS FOUNDATION RECEIVED 430 PER WEEK FOR HOUSING, PLUS REGISTRATION AND TRAVEL SUPPORT. PHYSICISTS' SUMMER BILLS ARE REDUCED BY THE AMOUNT OF SUPPORT; ACCOUNT OVERPAYMENTS ARE REFUNDED BY CHECK. WINTER SUPPORT IS NORMALLY AWARDED TO JUNIOR SCIENTISTS AND THOSE SCIENTISTS WITH A DEMONSTRATED NEED IN ORDER TO ATTEND. THIS SUPPORT IS USED TO REDUCE THE PHYSICIST'S WINTER BILL OR IS REFUNDED BY CHECK."
