FilerEIN,TaxYear,BusinessNameLine1Txt,AddressLine1Txt,AddressLine2Txt,CityNm,StateAbbreviationCd,ZIPCd,ServicesDesc,CompensationAmt,PersonNm,ProvinceOrStateNm,CountryCd,BusinessNameLine2Txt,ForeignPostalCd
135562401,2018,RGM CAPITAL LLC,9010 Strada Stell Court,Suite 105,Naples,FL,34109,INVESTMENT MANAGEMENT,4462750,,,,,
135562401,2018,WELLINGTON MANAGEMENT CO,280 Congress Street,,Boston,MA,02210,INVESTMENT MANAGEMENT,1658157,,,,,
135562401,2018,PRAESIDIUM INVESTMENT MANAGEMENT CO,747 3rd Avenue,35th Floor,New York,NY,10017,INVESTMENT MANAGEMENT,1361643,,,,,
135562401,2018,BASSWOOD CAPITAL MANAGEMENT,645 Madison Avenue,10th Floor,New York,NY,10022,INVESTMENT MANAGEMENT,1302573,,,,,
135562401,2018,GARDNER RUSSO & GARNDER LLC,223 East Chestnut Street,,Lancaster,PA,17602,INVESTMENT MANAGEMENT,1191525,,,,,
510198509,2018,POLICYLINK,1438 WEBSTER STREET STE 303,,OAKLAND,CA,94612,CONSULTING,1017150,,,,,
510198509,2018,GRASSROOTS SOLUTIONS INC,861 E HENNEPIN AVE STE 350,,MINNEAPOLIS,MN,55414,CONSULTING,800000,,,,,
510198509,2018,PREVENTION INSTITUTE,221 OAK STREET,,OAKLAND,CA,94607,CONSULTING,602557,,,,,
510198509,2018,WORKING NARRATIVES,PO BOX 448,,WILMINGTON,NC,28402,CONSULTING,300000,,,,,
510198509,2018,THE SMARTER LEARNING GROUP,4011 YOKE DRIVE,,HAMPSTEAD,MD,21074,CONSULTING,270645,,,,,
810421425,2018,USDA FOREST SERVICE,1400 INDEPENDENCE AVE SW,,WASHINGTON,DC,20250,HABITAT ENHANCEMENT,1072026,,,,,
810421425,2018,WELLS FARGO,1 MONTGOMERY ST,,SAN FRANCISCO,CA,94104,MERCHANT & BANK SERV,568696,,,,,
810421425,2018,BIG TIME ENTERTAINMENT,1984 NORWAY LAKE RD SW,,PINE RIVER,MN,56474,TELEVISION,328050,,,,,
810421425,2018,WISCONSIN DEPT OF NATURAL RESOURCES,101 S WEBSTER ST,,MADISON,WI,53707,ELK RELOCATION,314109,,,,,
810421425,2018,THE EXPO GROUP,5931 CAMPUS CIRCLE DR W,,IRVING,TX,75063,EXPOSITION SERVICES,294879,,,,,
311640316,2018,CHARLES SCHWAB & CO,211 MAIN STREET,,SAN FRANCISCO,CA,94105,BROKERAGE & ADMIN SERVICES,3062442,,,,,
311640316,2018,BAKER STREET ADVISORS LLC,455 MARKET STREET FL 23,,SAN FRANCISCO,CA,94105,ASSET MANAGEMENT,685244,,,,,
311640316,2018,GRAYSTONE CONSULTING LTD,1555 HIGHPOINT DRIVE,,NEWARK,OH,43055,ASSET MANAGEMENT,565710,,,,,
311640316,2018,WETHERBY ASSET MANAGEMENT,580 CALIFORNIA STREET FL 8,,SAN FRANCISCO,CA,94104,ASSET MANAGEMENT,451253,,,,,
311640316,2018,JORDAN PARK GROUP LLC,100 PINE STREET SUITE 2600,,SAN FRANCISCO,CA,94111,ASSET MANAGEMENT,350501,,,,,
364724966,2018,SKENDER CONSTRUCTION,200 W MADISON SUITE 1300,,CHICAGO,IL,60606,CONSTRUCTION,41430847,,,,,
364724966,2018,POWER CONSTRUCTION COMPANY LLC,225 W Washington Street Suite 1420,,CHICAGO,IL,60606,CONSTRUCTION SERVICES,29503302,,,,,
364724966,2018,TURNER CONSTRUCTION COMPANY,55 E MONROE SUITE 1430,,CHICAGO,IL,60603,CONSTRUCTION,29341450,,,,,
364724966,2018,LO DESTRO CONSTRUCTION COMPANY,211 E Ontario St 500,,CHICAGO,IL,60604,CONSTRUCTION SERVICES,21927688,,,,,
364724966,2018,CB RICHARD ELLIS INC,205 W WACKER DRIVE,,CHICAGO,IL,60606,PROPERTY MANAGEMENT,17403857,,,,,
208295721,2018,,2501 SMALLMAN STREET,,PITTSBURGH,PA,15222,CONSTRUCTION CONTR,45809740,RYCON CONSTRUCTION INC,,,,
208295721,2018,,625 Walnut Street,,MCKEESPORT,PA,15132,Rehab Services,43416352,Centers for Rehab Services,,,,
208295721,2018,,4999 Old Clairton Road,,PITTSBURGH,PA,15236,Contruction Contr,29174231,MBM Contracting Inc,,,,
208295721,2018,,120 DELTA DRIVE,,PITTSBURGH,PA,15238,CONSTRUCTION CONTR,22506654,MASSARO CORPORATION,,,,
208295721,2018,,204 Sigma Drive,,PITTSBURGH,PA,15238,Transplant Services,21174125,Center for Organ Recovery Educati,,,,
370662561,2018,,6810 STATE ROUTE 162,,MARYVILLE,IL,62062,PHYSICIAN SERVICES,1898629,GENERAL LAPAROSCOPIC SURGERY ASSO,,,,
