FilerEIN,TaxYear,BusinessNameLine1Txt,Title,AverageHoursPerWeekRt,AverageHoursPerWeekRltdOrgRt,IndividualTrusteeOrDirector,Officer,ReportableCompFromOrg,ReportableCompFromRltdOrg,OtherCompensation,KeyEmployee,HighestCompensatedEmployee,Name,FormerOfcrDirectorTrusteeInd,InstitutionalTrustee
135562401,2018,WILLIAM HOLBY,CHAIRMAN,2.0,0.0,X,X,0,0,0,,,,,
135562401,2018,DENISE DAY,VICE CHAIRMAN,2.0,40.0,X,X,0,375047,42925,,,,,
135562401,2018,ERIC K MANN,TRUSTEE VOLUNTEER,2.0,40.0,X,,0,338183,29771,,,,,
135562401,2018,MARK BAUMGARTNER,TRUSTEE VOLUNTEER,2.0,0.0,X,,0,0,0,,,,,
135562401,2018,BARBARA A BETTIN,TRUSTEE VOLUNTEER,2.0,40.0,X,,0,239319,35787,,,,,
135562401,2018,ANGELA BROCK-KYLE,TRUSTEE VOLUNTEER,2.0,0.0,X,,0,0,0,,,,,
135562401,2018,SANDRA J MORANDER,TRUSTEE VOLUNTEER,2.0,40.0,X,,0,287713,54054,,,,,
135562401,2018,JOSEPH R WEIST,TRUSTEE VOLUNTEER,2.0,40.0,X,,0,134165,24105,,,,,
135562401,2018,STEPHEN IVES,TRUSTEE VOLUNTEER,2.0,0.0,X,,0,0,0,,,,,
135562401,2018,JURIJ Z KUSHNER,TRUSTEE VOLUNTEER,2.0,0.0,X,,0,0,0,,,,,
135562401,2018,D SCOTT LUTTRELL,TRUSTEE VOLUNTEER,2.0,0.0,X,,0,0,0,,,,,
135562401,2018,ROBERT T LUTTS,TRUSTEE VOLUNTEER,2.0,0.0,X,,0,0,0,,,,,
135562401,2018,DAVID M MARTIN,TRUSTEE VOLUNTEER,2.0,0.0,X,,0,0,0,,,,,
135562401,2018,WILLIAM D RUECKERT,TRUSTEE VOLUNTEER,2.0,0.0,X,,0,0,0,,,,,
135562401,2018,W KELVIN WALKER,TRUSTEE VOLUNTEER - AS OF 1/1/2018,2.0,0.0,X,,0,0,0,,,,,
135562401,2018,CHRISTINE C MARCKS,TRUSTEE VOLUNTEER - AS OF 7/1/2018,2.0,0.0,X,,0,0,0,,,,,
135562401,2018,JOHN M PREIS,PRESIDENT AND CHIEF EXECUTIVE OFFICER - UNTIL 6/2019,40.0,0.0,,X,1010345,0,85856,,,,,
135562401,2018,HUNTER REISNER,CHIEF INVESTMENT OFFICER,40.0,0.0,,X,969250,0,296834,,,,,
135562401,2018,VANESSA BOULOUS,CHIEF OPERATIONS OFFICER - EXTERNAL,40.0,0.0,,X,440115,0,78237,,,,,
135562401,2018,ELLIOTT BUCHHOLZ,CHIEF OPERATIONS OFFICER - INTERNAL - UNTIL 6/2019,40.0,0.0,,X,446999,0,92520,,,,,
135562401,2018,VINCENT M DE SIO,CHIEF FINANCIAL OFFICER,40.0,0.0,,X,429787,0,93574,,,,,
135562401,2018,JAMES G KIRSCHNER,CHIEF STRATEGY OFFICER,40.0,0.0,,X,403253,0,88515,,,,,
135562401,2018,JOHN QUINONES,GENERAL COUNSEL,40.0,0.0,,X,560561,0,92873,,,,,
135562401,2018,MARCELA DEITRICH,SENIOR VICE PRESIDENT - CUSTOMER SERVICE,40.0,0.0,,,311572,0,43999,X,,,,
135562401,2018,ELIZABETH KURILLA,VICE PRESIDENT - INTERNAL AUDIT,40.0,0.0,,,261566,0,67084,X,,,,
135562401,2018,LISA WORTHY,SENIOR VICE PRESIDENT - FINANCE,40.0,0.0,,,303295,0,78826,X,,,,
135562401,2018,ELIZABETH DELGADO,VICE PRESIDENT - HUMAN RESOURCES,40.0,0.0,,,262489,0,61371,X,,,,
135562401,2018,KERRI HAYES,SENIOR COUNSEL,40.0,0.0,,,197003,0,70913,X,,,,
135562401,2018,MAUREEN HALEY,VICE PRESIDENT - APPLICATIONS DEVELOPMENT,40.0,0.0,,,209597,0,53081,X,,,,
135562401,2018,MARK SINNI,PORTFOLIO MANAGER,40.0,0.0,,,507473,0,57205,,X,,,
135562401,2018,SULEYMAN GOKCAN,DIRECTOR OF RISK,40.0,0.0,,,453774,0,88060,,X,,,
135562401,2018,IVAN MANOLOV,PORTFOLIO MANAGER,40.0,0.0,,,455489,0,67935,,X,,,
135562401,2018,JEREMY ROSENBERG,PORTFOLIO MANAGER,40.0,0.0,,,438347,0,59881,,X,,,
135562401,2018,GREGORY ROZOLSKY,PORTFOLIO MANAGER,40.0,0.0,,,437809,0,65357,,X,,,
510198509,2018,,CHAIR,2.00,2.00,X,X,0,0,0,,,SID ESPINOSA,,
510198509,2018,,DIRECTOR,2.00,2.00,X,,0,0,0,,,KAFI BLUMENFIELD,,
510198509,2018,,DIRECTOR,2.00,2.00,X,,0,0,0,,,ROSLYN DAWSON THOMPSON,,
510198509,2018,,DIRECTOR,2.00,2.00,X,,0,0,0,,,BRICKSON DIAMOND,,
510198509,2018,,DIRECTOR,2.00,2.00,X,,0,0,0,,,SUZANNE DIBIANCA,,
510198509,2018,,DIRECTOR,2.00,2.00,X,,0,0,0,,,JACOB WELDON,,
510198509,2018,,DIRECTOR,2.00,2.00,X,,0,0,0,,,STEVE ZUCKERMAN,,
510198509,2018,,CEO,8.00,42.00,,X,0,460068,66467,,,KRISS DEIGLMEIER,,
510198509,2018,,TREASURER/CFO,8.00,42.00,,X,0,391203,35853,,,JUDITH HILL,,
510198509,2018,,CORPORATE SECRETARY,8.00,42.00,,X,0,302840,50436,,,AMANDA KETON,,
510198509,2018,,ASSISTANT CORPORATE SECRETARY,8.00,42.00,,X,0,110339,23520,,,JENNIFER MARIE LANDIG,,
810421425,2018,,Director,7.00,1.00,X,,0,0,0,,,MARK BAKER,,
810421425,2018,,Director,10.00,1.00,X,,0,0,0,,,PHILIP BARRETT,,
810421425,2018,,Director,5.00,1.00,X,,0,0,0,,,MIKE BAUGH,,
810421425,2018,,Director,5.00,1.00,X,,0,0,0,,,JOHN CAID,,
810421425,2018,,Director,5.00,1.00,X,,15450,0,0,,,CHARLIE DECKER,,
810421425,2018,,Director,6.00,1.00,X,,0,0,0,,,TW GARRETT,,
810421425,2018,,Director,7.50,1.00,X,,0,0,0,,,NANCY HADLEY,,
810421425,2018,,CEO (PART YEAR),10.00,1.00,X,X,2725,0,12250,,,NANCY HOLLAND,,
810421425,2018,,Director,5.00,1.00,X,,0,0,0,,,LARRY IRWIN,,
810421425,2018,,Director,5.00,1.00,X,,0,0,0,,,ERIC JOHNSON,,
810421425,2018,,Director,10.00,1.00,X,,0,0,0,,,KENT JOHNSON,,
810421425,2018,,Director,10.00,1.00,X,,0,0,0,,,FRED LEKSE,,
810421425,2018,,Director,8.00,1.00,X,,0,0,0,,,BILL MADISON,,
810421425,2018,,Director,5.00,1.00,X,,0,0,0,,,DON MOSS,,
810421425,2018,,Director,5.00,1.00,X,,15450,0,0,,,ROBERT MUNSON,,
810421425,2018,,Director,5.00,1.00,X,,0,0,0,,,RANDY NEWBERG,,
810421425,2018,,Director,5.00,1.00,X,,0,0,0,,,VICKI PELTONEN,,
810421425,2018,,Director,5.00,1.00,X,,0,0,0,,,BILL PINE,,
810421425,2018,,Director,5.00,1.00,X,,0,0,0,,,JERRY PIONESSA,,
810421425,2018,,Director,5.00,1.00,X,,0,0,0,,,LEWIS STAPLEY,,
810421425,2018,,Director,5.00,1.00,X,,0,0,0,,,MICHAEL STEUERT,,
810421425,2018,,Director,5.00,1.00,X,,0,0,0,,,TERRY SWEET,,
810421425,2018,,Director,4.00,1.00,X,,0,0,0,,,JOE TREADWAY,,
810421425,2018,,Director,5.00,1.00,X,,0,0,0,,,MARTIN VAVRA,,
810421425,2018,,President & CEO,50.00,5.00,,X,183344,0,14612,,,R KYLE WEAVER,,
810421425,2018,,President & CEO,50.00,5.00,,X,202737,0,3874,,,M DAVID ALLEN,,
810421425,2018,,Treasurer,0.00,0.00,,X,0,0,0,,,SHANE CRONK,,
810421425,2018,,Secretary,50.00,5.00,,X,208620,0,24557,,,RODNEY TRIEPKE,,
810421425,2018,,Treasurer,50.00,5.00,,X,174436,0,20943,,,LORI PARKER,,
810421425,2018,,CHIEF CONSERVATION OFFICER,50.00,5.00,,,164030,0,19859,X,,BLAKE HENNING,,
810421425,2018,,VP OF MARKETING,50.00,5.00,,,156403,0,22833,X,,STEVE DECKER,,
810421425,2018,,GENERAL COUNSEL,50.00,5.00,,,156078,0,22264,,X,GRANT PARKER,,
810421425,2018,,DIR OF FIELD OPER,40.00,10.00,,,130405,0,20218,,X,DON BLAKLEY,,
810421425,2018,,VP OPERATIONS,40.00,10.00,,,127709,0,18357,,X,RALPH CINFIO III,,
810421425,2018,,VP DEVELOPMENT,50.00,5.00,,,114980,0,20743,,X,SHANE CRONK,,
810421425,2018,,DIR OF FIELD OPER,40.00,10.00,,,111483,0,21401,,X,KIRK MURPHY,,
311640316,2018,,DIRECTOR,1.00,,X,,0,0,0,,,ANNE CASSCELLS,,
