DoingBusinessAsName,PrincipalOfcrBusinessName,GrossReceiptsAmt,GroupReturnForAffiliatesInd,WebsiteAddressTxt,FormationYr,ActivityOrMissionDesc,VotingMembersGoverningBodyCnt,VotingMembersIndependentCnt,TotalEmployeeCnt,CYContributionsGrantsAmt,CYGrantsAndSimilarPaidAmt,CYBenefitsPaidToMembersAmt,CYSalariesCompEmpBnftPaidAmt,CYTotalProfFndrsngExpnsAmt,CYTotalFundraisingExpenseAmt,CYOtherExpensesAmt,CYTotalExpensesAmt,TotalAssetsBOYAmt,TotalAssetsEOYAmt,TotalLiabilitiesBOYAmt,TotalLiabilitiesEOYAmt,NetAssetsOrFundBalancesBOYAmt,DescribedInSection501c3Ind,ScheduleBRequiredInd,PoliticalCampaignActyInd,LobbyingActivitiesInd,DonorAdvisedFundInd,MoreThan5000KToOrgInd,MoreThan5000KToIndividualsInd,ProfessionalFundraisingInd,FundraisingActivitiesInd,GrantsToOrganizationsInd,GrantsToIndividualsInd,ScheduleJRequiredInd,GrantToRelatedPersonInd,BusinessRlnWithOrgMemInd,BusinessRlnWithFamMemInd,BusinessRlnWithOfficerEntInd,TerminateOperationsInd,PartialLiquidationInd,DisregardedEntityInd,RelatedEntityInd,RelatedOrganizationCtrlEntInd,TrnsfrExmptNonChrtblRltdOrgInd,ActivitiesConductedPrtshpInd,ScheduleORequiredInd,FilerEIN,TaxYear,PrincipalOfficerNm,SubjectToProxyTaxInd,TransactionWithControlEntInd,AllAffiliatesIncludedInd
YMCA Retirement Fund,SCOTT DOLFI,2931525471.0,False,WWW.YRETIREMENT.ORG,1921,To provide pension and welfare benefits for YMCA employees. (See Part III or Schedule O for the complete mission statement.),16.0,11.0,141.0,226969.0,217090.0,595326903.0,21614730.0,0.0,0.0,26998241.0,644156964.0,7129297904.0,7251001000.0,7494781091.0,7683028630.0,-365483187.0,True,True,False,True,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,True,135562401,2018,Ananda Sweet,False,True,True
YMCA Retirement Fund,SCOTT DOLFI,505705470.0,True,WWW.TIDES.ORG,1976,GRANTMAKING THROUGH DONOR ADVISED FUNDS/OTHER FUNDS TO ACCELERATE THE PACE OF SOCIAL CHANGE.,7.0,7.0,0.0,406381687.0,291149440.0,0.0,0.0,0.0,808804.0,13309624.0,304459064.0,313456165.0,400794634.0,56412090.0,39644444.0,257044075.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,510198509,2018,TUTI SCOTT,True,True,True
YMCA Retirement Fund,SCOTT DOLFI,105578694.0,False,www.rmef.org,1984,"THE MISSION OF THE ROCKY MOUNTAIN ELK FOUNDATION IS TO ENSURE THE FUTURE OF ELK, OTHER WILDLIFE, THEIR HABITAT AND OUR HUNTING HERITAGE. OUR MISSION INCLUDES FOUR CORE PROGRAMS; LAND PROTECTION, HABITAT STEWARDSHIP, ELK RESTORATION AND HUNTING HERITAGE.",20.0,17.0,169.0,38496310.0,1655579.0,0.0,12928432.0,25175.0,5933477.0,45181937.0,59791123.0,91595758.0,91465853.0,6421226.0,6821114.0,85174532.0,True,True,False,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,810421425,2018,R KYLE WEAVER,False,False,False
YMCA Retirement Fund,SCOTT DOLFI,4558510409.0,True,WWW.SCHWABCHARITABLE.ORG,1999,"OPERATING A DONOR ADVISED CHARITABLE GIVING PROGRAM THAT PROVIDES USEFUL INFORMATION, UNBIASED GUIDANCE AND ADVANTAGEOUS WAYS TO GIVE.",7.0,6.0,0.0,4364889684.0,2478188431.0,0.0,12254794.0,0.0,6006554.0,33851199.0,2524294424.0,12912865793.0,15316830044.0,17336941.0,105838209.0,12895528852.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,311640316,2018,KIMBERLY LAUGHTON,True,False,False
YMCA Retirement Fund,Dean M Harrison,6613657518.0,True,www.NM.Org,1999,THE PRIMARY MISSION OF THE NORTHWESTERN AFFILIATES INCLUDED IN THIS GROUP RETURN IS TO BE THE DESTINATION OF CHOICE FOR (CONTINUED IN SCHEDULE O),181.0,142.0,27954.0,65076110.0,18804578.0,0.0,2509249050.0,0.0,12419337.0,3622025759.0,6150079387.0,9984226689.0,11000741502.0,2725172406.0,3142226688.0,7259054283.0,True,True,False,True,True,False,False,False,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,364724966,2018,KIMBERLY LAUGHTON,True,True,True
YMCA Retirement Fund,Dean M Harrison,2019006.0,False,WWW.ASPENPHYS.ORG,1962,"THE CENTER IS A SCIENTIFIC ORGANIZATION WHICH PROMOTES ORGANIZED RESEARCH IN PHYSICS, ASTROPHYSICS AND RELATED FIELDS.",75.0,75.0,7.0,717866.0,240028.0,0.0,254821.0,0.0,2548.0,1408194.0,1903043.0,5883767.0,6154885.0,313321.0,442466.0,5570446.0,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,846059504,2018,AMANDA JENKINS,False,True,True
YMCA Retirement Fund,Dean M Harrison,16590976551.0,True,www.UPMC.COM,2006,"HEALTHCARE, EDUCATION, AND RESEARCH",40.0,6.0,65218.0,103395767.0,69209857.0,0.0,5956892411.0,0.0,0.0,8857187513.0,14883289781.0,8020575053.0,8546151463.0,2324353487.0,2708333443.0,5696221566.0,True,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,True,True,False,False,True,208295721,2018,Edward T Karlovich,False,True,True
YMCA Retirement Fund,Dean M Harrison,900612.0,False,HTTP://WWW.EMETONLINE.ORG,2006,PROMOTE IDEAS AND SOLUTIONS FOR PEACE AND SECURITY IN THE UNITED STATES AND ISRAEL THROUGH SCHOLARLY ANALYSIS AND CRITICAL ASSESSMENT OF MIDDLE EAST ISSUES.,21.0,19.0,7.0,684387.0,0.0,0.0,420875.0,36000.0,79728.0,146150.0,603025.0,395760.0,553153.0,21060.0,27014.0,374700.0,True,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,204329740,2018,SARAH STERN,False,False,False
ANDERSON HOSPITAL,Dean M Harrison,202089945.0,False,WWW.ANDERSONHOSPITAL.ORG,1977,OUR COMMUNITY TURNS TO ANDERSON FIRST FOR ALL HEALTHCARE NEEDS.,22.0,21.0,1860.0,0.0,33506.0,0.0,78201060.0,0.0,0.0,100186092.0,178420658.0,241721904.0,249626331.0,74901192.0,81855748.0,166820712.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,True,370662561,2018,KEITH PAGE,False,True,False
PromiseShip,Judy F Rasmussen CPA,67075438.0,False,https://www.promiseship.org/,2009,PromiseShip tirelessly spans boundaries bringing powerful partners together to provide innovative solutions that transform lifes uncertainties into family wellbeing.,13.0,11.0,459.0,346316.0,473013.0,0.0,21650237.0,0.0,214322.0,45966929.0,68090179.0,7559547.0,6672142.0,6859675.0,6987011.0,699872.0,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,264436716,2018,KEITH PAGE,False,True,False
